Coefficient,MAE,ExpVar
1.2998633112448168,5.472630610805845,0.9250668895534017
0.24725831677421226,5.472630610805845,0.9250668895534017
0.08002174500835464,5.472630610805845,0.9250668895534017
0.4143530330647321,5.472630610805845,0.9250668895534017
0.805603025189195,5.472630610805845,0.9250668895534017
1.6139911135452432,5.472630610805845,0.9250668895534017
1.40077099861038,5.472630610805845,0.9250668895534017
0.375788936725693,5.472630610805845,0.9250668895534017
1.2915771189661025,5.472630610805845,0.9250668895534017
0.7441004787358019,5.472630610805845,0.9250668895534017
1.626423996107805,5.472630610805845,0.9250668895534017
0.10583260959810353,5.472630610805845,0.9250668895534017
0.15237538091603262,5.472630610805845,0.9250668895534017
0.45601630303484775,5.472630610805845,0.9250668895534017
0.1358082934787779,5.472630610805845,0.9250668895534017
0.8954201652328714,5.472630610805845,0.9250668895534017
0.31335568449483875,5.472630610805845,0.9250668895534017
2.0475453761125997,5.472630610805845,0.9250668895534017
19.953950879650456,5.472630610805845,0.9250668895534017
0.139580135356798,5.472630610805845,0.9250668895534017
0.6502996158213751,5.472630610805845,0.9250668895534017
0.7776294320976338,5.472630610805845,0.9250668895534017
